"","Amostra","Comunidade","indig","roça","coletor","animal_consumo","animal_consumo_n","animal_domestico","saf","saf_n","consome_caça","caça_preferida","freqcons_caça","caçador_familia","como_consome_caça","quem_limpa_caça","problema_carne_caça","n_nao_caca","problemas_encontrados_caça","caça_consumida_n","caça_problema_n","criança","adolesc","adulto","idosos","tamanh_familia","tipo_casa2","origem_agua2","filtr_agua2","ferve_agua2","freq_bin","animal_principal","total_crian_adolesc","prop_adultos","tem_problema","n_especies_caça"
"1","BQ001","Surucuá","Não","Sim","Sim","GALIN",1,"Sim","Sim",13,"Sim","VEADO","1x MÊS","Não","INTEIRO/PEDAÇO","Caçador","OCASIONALMENTE",4,"Tumores/Caroços",1,1,2,0,1,0,3,"alvenária","poço","Não","sim","Não_Frequente","Galinha",2,0.333333333333333,"Sim",1
"2","BQ002","Surucuá","Não","Sim","Sim","GALIN",1,"Sim","Sim",9,"Sim","CUTIA; PACA; VEADO","1x MÊS","Não","INTEIRO/PEDAÇO","Caçador","OCASIONALMENTE",3,"Tumores/Caroços",3,1,1,0,4,0,5,"alvenária","micro","Não","não","Não_Frequente","Galinha",1,0.8,"Sim",3
"3","BQ006","Surucuá","Não","Sim","Sim","GALIN",1,"Não","Sim",4,"Sim","PACA; TATU; VEADO","2x MÊS","Sim","INTEIRO/PEDAÇO","Cônjuge","SIM",3,"Resquício Bala",3,3,2,2,2,0,6,"alvenária","micro","Não","não","Não_Frequente","Galinha",4,0.333333333333333,"Sim",3
"4","BQ007","Surucuá","Não","Sim","Sim","GALIN",1,"Sim","Sim",12,"Sim","CAITIT; CUTIA; PACA; TATU; VEADO","2-3x SEMANA","Não","INTEIRO/PEDAÇO","Caçador","NÃO",4,"Nenhum",5,0,0,0,2,1,3,"alvenária","micro","Sim","não","Frequente","Galinha",0,0.666666666666667,"Não",5
"5","BQ008","Surucuá","Não","Sim","Sim","GALIN",1,"Não","Sim",1,"Sim","VEADO","1x MÊS","Não","INTEIRO/PEDAÇO","Caçador","NÃO",2,"Nenhum",1,0,1,0,1,1,3,"madeira","micro","Sim","sim","Não_Frequente","Galinha",1,0.333333333333333,"Não",1
"6","BQ009","Surucuá","Não","Sim","Sim","PORCO",1,"Sim","Sim",1,"Sim","VEADO","1x MÊS","Não","INTEIRO/PEDAÇO","Cônjuge","NÃO",2,"Nenhum",1,0,1,2,5,0,8,"alvenária","micro","Não","não","Não_Frequente","Porco",3,0.625,"Não",1
"7","BQ012","Surucuá","Não","Sim","Sim","GALIN",1,"Não","Sim",1,"Sim","CUTIA; VEADO","1x MÊS","Não","INTEIRO/PEDAÇO","Pais/Avós","NÃO",3,"Nenhum",2,0,0,0,0,0,0,"alvenária","micro","Sim","não","Não_Frequente","Galinha",0,NA,"Não",2
"8","BQ014","Surucuá","Não","Sim","Sim","GALIN",1,"Sim","Sim",1,"Sim","PACA; TATU","1x MÊS","Não","INTEIRO/PEDAÇO","Caçador","NÃO",3,"Nenhum",2,0,0,0,0,1,1,"alvenária","micro","Não","não","Não_Frequente","Galinha",0,0,"Não",2
"9","BQ016","Vila do Amorim","Sim","Sim","Sim","GALIN; PATO",2,"Sim","Sim",2,"Sim","VEADO","1x MÊS","Sim","INTEIR","Pais/Avós","SIM",1,"Resquício Bala",1,1,0,2,5,0,7,"alvenária","micro","Sim","não","Não_Frequente","Galinha",2,0.714285714285714,"Sim",1
"10","BQ018","Vila do Amorim","Sim","Sim","Sim","GALIN; PATO; PORCO",3,"Sim","Sim",15,"Sim","CAITIT; JABUTI; PACA; TATU; VEADO","SEMANAL","Não","INTEIRO/PEDAÇO","Caçador","RARO",5,"Tumores/Caroços",5,1,7,1,6,0,14,"alvenária","4 fontes","Não","sim","Frequente","Galinha",8,0.428571428571429,"Sim",5
